No,구분,발급일자,시험번호,시험명,업체명,해당팀,비고,접수일자,접수번호,작성자(PL),시작일,종료일,업체명,시료명
57,성적서,2025-03-17 0:00,GS-C-25-0011,GS,(주)이튜,영남소프트웨어시험센터,,2025-02-20 0:00,25-00742,김민우,2025-03-17 0:00,2025-03-17 0:00,(주)이튜,ICMS v4.2
58,성적서,2025-03-20 0:00,GS-C-25-0010,GS,소프트프릭,영남소프트웨어시험센터,,2025-02-14 0:00,25-00678,이진협,2025-03-20 0:00,2025-03-20 0:00,소프트프릭,F-Avata CCE v1.0
59,성적서,2025-03-26 0:00,GS-C-25-0017,GS,㈜오픈노트,영남소프트웨어시험센터,,2025-03-24 0:00,25-01283,황현후,2025-03-26 0:00,2025-03-26 0:00,㈜오픈노트,OPEN_AI_CHAT v1.0
60,성적서,2025-04-02 0:00,GS-C-25-0016,GS,(주)이튜,영남소프트웨어시험센터,,2025-03-10 0:00,25-01027,전지은,2025-04-02 0:00,2025-04-02 0:00,(주)이튜,알리미 v2.0
61,성적서,2025-04-04 0:00,GS-C-25-0015,GS,(주)대호이엔지,영남소프트웨어시험센터,,2025-03-05 0:00,25-00918,전지은,2025-04-04 0:00,2025-04-04 0:00,(주)대호이엔지,수문원격관리시스템 v1.0
62,성적서,2025-04-11 0:00,GS-C-25-0014,GS,주식회사 세화넥스텍,영남소프트웨어시험센터,,2025-02-27 0:00,25-00867,김민우,2025-04-11 0:00,2025-04-11 0:00,주식회사 세화넥스텍,SMART WEBCON Ver1.0
63,성적서,2025-04-25 0:00,GS-C-25-0018,GS,(주)이지에버텍,영남소프트웨어시험센터,,2025-04-08 0:00,25-01690,김민우,2025-04-25 0:00,2025-04-25 0:00,(주)이지에버텍,EZBEMS v1.0
64,성적서,2025-05-08 0:00,GS-A-25-0053,GS,주식회사 홍석,영남소프트웨어시험센터,,2025-04-08 0:00,25-01639,이진협,2025-05-08 0:00,2025-05-08 0:00,주식회사 홍석,홍석 지능형 하천 관제 시스템 V1.0
65,성적서,2025-05-19 0:00,GS-C-25-0029,GS,(주)에이텍컴퓨터,영남소프트웨어시험센터,,2025-05-15 0:00,25-01993,전지은,2025-05-19 0:00,2025-05-19 0:00,(주)에이텍컴퓨터,에이텍 지능형 리커버리 솔루션 v1.0
66,성적서,2025-05-21 0:00,GS-C-25-0019,GS,(주)텔로스,영남소프트웨어시험센터,,2025-04-17 0:00,25-01728,황현후,2025-05-21 0:00,2025-05-21 0:00,(주)텔로스,IoT/Ros 플랫폼 v1.0
67,성적서,2025-05-28 0:00,GS-C-24-0033,GS,㈜78리서치랩,영남소프트웨어시험센터,,2024-03-29 0:00,24-01340,전지은,2025-05-28 0:00,2025-05-28 0:00,㈜78리서치랩,퍼플하운드 v1.0
68,성적서,2025-05-29 0:00,GS-C-25-0021,GS,㈜에스엠전자,영남소프트웨어시험센터,,2025-04-29 0:00,25-01842,이진협,2025-05-29 0:00,2025-05-29 0:00,㈜에스엠전자,수배전반 감전안전 진단 모니터링 V1.0
69,성적서,2025-06-05 0:00,GS-C-25-0024,GS,(주)에스엠에스,영남소프트웨어시험센터,,2025-05-08 0:00,25-01919,김민우,2025-06-05 0:00,2025-06-05 0:00,(주)에스엠에스,패스볼트 v3.0
70,성적서,2025-06-10 0:00,GS-C-25-0022,GS,주식회사 애드테크온,영남소프트웨어시험센터,,2025-05-07 0:00,25-01902,김민우,2025-06-10 0:00,2025-06-10 0:00,주식회사 애드테크온,시큐리티 센터 엔터프라이스 버전 5
71,성적서,2025-06-17 0:00,GS-C-25-0026,GS,㈜트리엠,영남소프트웨어시험센터,,2025-05-13 0:00,25-01958,전지은,2025-06-17 0:00,2025-06-17 0:00,㈜트리엠,트리엠 CMS v1.0
